timestamp,timestamp,bigbox,hafbox,pixcount_cutoff,goffset_stellar_centroidx,goffset_stellar_centroidy,goffset_hwing1,goffset_hwing2,goffset_vwing1,goffset_vwing2,h1r,h2r,v1r,v2r,polynom_h1,polynom_h2,polynom_v1,polynom_v2,airmass,target_name
20200114.074317,20200114.074317,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.16,bet Tau - HD 35497
20200114.074519,20200114.074519,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.16,bet Tau - HD 35497
20200114.074642,20200114.074642,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.16,bet Tau - HD 35497
20200114.074713,20200114.074713,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.16,bet Tau - HD 35497
20200114.074845,20200114.074845,250,40,650,0,0.05,0.05,0,0,0.2,"(20, 125)","(250, 330)","(20, 125)","(265, 330)",1,1,1,1,1.18,bet Tau - HD 35497
20200114.075114,20200114.075114,250,40,650,0,0.05,0.05,0,0,0.2,"(20, 125)","(250, 330)","(20, 125)","(265, 330)",1,1,1,1,1.19,bet Tau - HD 35497
20200114.075225,20200114.075225,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.19,bet Tau - HD 35497
20200114.075325,20200114.075325,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.19,bet Tau - HD 35497
20200114.075432,20200114.075432,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.19,bet Tau - HD 35497
20200114.075621,20200114.075621,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.19,bet Tau - HD 35497
20200114.075731,20200114.075731,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,1.19,bet Tau - HD 35497
20200114.080222,20200114.080222,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.30,eta Uma - HD 120315
20200114.080345,20200114.080345,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.20,eta Uma - HD 120315
20200114.080540,20200114.080540,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.20,eta Uma - HD 120315
20200114.080617,20200114.080617,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.20,eta Uma - HD 120315
20200114.080715,20200114.080715,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.20,eta Uma - HD 120315
20200114.080750,20200114.080750,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.20,eta Uma - HD 120315
20200114.080829,20200114.080829,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.14,eta Uma - HD 120315
20200114.080923,20200114.080923,250,40,650,0,0.0,0.0,0,0,0.0,"(50, 100)","(250, 300)","(50, 100)","(250, 300)",1,1,1,1,2.13,eta Uma - HD 120315
